Siruta,Localitate,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64
4106,CALNIC,0.406,9.128,32.657,31.44,9.331,2.637,0.609,13.59
4142,CRICAU,0.184,4.052,17.495,34.254,18.048,13.628,0.552,11.234
4188,CRACIUNELU DE JOS,1.182,13.442,16.396,36.632,8.567,3.84,1.477,18.021
4240,DAIA ROMANA,0,4.407,12.067,66.107,7.765,0.63,1.049,7.87
4268,DOSTAT,0.278,3.611,12.778,63.056,4.722,4.722,0.278,9.167
4302,FARAU,5.556,1.389,9.259,66.667,8.796,2.006,0.309,5.401
4366,GALDA DE JOS,6.478,8.485,19.891,34.215,14.599,3.467,0.821,11.131
4482,GARBOVA,1.059,3.814,42.585,37.712,5.297,0.636,0.847,7.627
4525,GARDA DE SUS,0.229,2.294,23.853,37.385,7.798,6.422,1.376,19.725
4703,HOPARTA,2.011,3.448,15.517,56.897,5.747,3.161,0.862,9.483
4767,HOREA,0.332,1.881,15.929,58.186,5.31,2.876,1.659,13.274
4927,IGHIU,0.671,4.332,18.548,37.401,18.121,2.318,0.61,16.901
4981,INTREGALDE,0.476,27.619,14.286,33.81,5.714,5.714,1.429,9.524
5103,JIDVEI,1.748,2.356,12.614,51.596,7.143,2.432,0.836,20.061
5167,LIVEZILE,0.853,2.901,22.184,55.973,6.655,1.195,0.341,8.874
5210,LOPADEA NOUA,35.011,1.342,9.843,40.716,4.251,1.566,0.112,6.488
5309,LUNCA MURESULUI,31.323,2.32,14.849,25.29,9.513,4.408,0,11.601
5336,LUPSA,0.52,7.173,31.601,21.933,16.32,3.43,1.247,16.112
5577,METES,0.319,3.617,30.957,35.532,8.085,3.936,1.809,14.787
5700,MIHALT,0,5.763,22.519,50.587,8.645,1.921,0.961,8.751
5755,MIRASLAU,18.919,2.124,23.166,33.591,10.232,3.282,2.124,5.598
5826,MOGOS,0.647,7.12,17.799,53.398,10.032,3.883,0,5.502
6048,NOSLAC,10.998,2.851,12.627,61.303,4.481,1.629,0.204,5.499
6119,OCOLIS,0.327,1.961,14.706,66.667,8.17,2.614,0.654,3.595
6164,OHABA,0.685,3.082,33.904,43.836,3.082,1.712,0.685,11.644
6217,PIANU,0.311,2.386,17.116,44.295,11.203,2.49,1.245,19.295
6271,POIANA VADULUI,1.449,2.174,31.884,35.145,4.71,7.971,0.362,15.942
6397,PONOR,0.463,6.019,17.13,51.852,6.481,10.185,0.463,6.481
6468,POSAGA,0.787,4.462,20.735,50.394,12.861,2.887,1.312,5.774
6547,RADESTI,12.109,0.977,19.922,49.219,4.492,3.125,0.586,8.398
6592,RIMETEA,75,0.926,9.877,4.938,7.407,0.926,0,0
6627,RAMET,2.033,2.033,43.902,26.423,7.724,1.22,0.813,14.634
6761,ROSIA MONTANA,0.586,3.283,41.852,26.377,7.034,1.993,1.407,14.42
6930,ROSIA DE SECAS,0.637,4.459,23.885,27.707,7.643,3.503,1.911,29.299
6976,SALCIUA,1.116,2.679,21.652,48.884,12.277,4.241,0.67,7.366
7044,SALISTEA,0.319,3.511,16.277,47.34,8.83,5,0.532,17.34
7099,SASCIORI,0.691,28.096,11.816,33.69,12.194,1.383,0.566,10.622
7197,SCARISOARA,0.79,2.054,26.54,46.288,3.791,3.476,1.422,12.48
7348,SANCEL,0.99,8.911,15.983,43.281,7.638,3.819,0.283,17.115
7384,SANTIMBRU,0.836,3.762,33.229,34.901,12.435,2.299,2.926,8.359
7446,SOHODOL,0,6.126,32.432,42.523,2.883,3.063,1.261,10.631
7767,STREMT,0.618,1.236,41.409,31.397,9.271,2.101,0.865,11.743
7810,SIBOT,0.691,3.453,23.066,42.956,12.707,5.525,1.105,9.116
7865,SONA,11.026,6.232,12.656,42.665,8.054,2.109,0.288,15.724
7945,SPRING,0.119,2.491,12.337,48.992,8.304,1.423,0.356,25.03
8014,SUGAG,0.385,3.654,9.615,55,16.731,1.346,0.577,11.25
8096,ORAS TEIUS,2.438,3.712,35.734,26.482,9.972,3.823,0.776,15.734
8158,UNIREA,11.77,2.234,21.993,35.309,15.979,2.062,0.601,8.419
8229,VADU MOTILOR,0.366,2.925,30.165,27.788,2.559,15.722,1.463,17.185
8354,VALEA LUNGA,1.236,1.573,8.202,27.528,4.27,0.674,0.225,54.27
8425,VIDRA,0.358,8.766,47.585,11.27,7.156,5.367,1.61,16.995
8826,VINTU DE JOS,1.16,4.133,18.709,36.476,18.419,3.626,1.015,15.156
